month,Customer Code,pincode,Zone,Customer Name (Sold to Party),CFA Name,name of customer,SKU No,channel_sales,ECB_Primary_Sales,,
01-01-26,10031696,695501,South,ASWAS PHARMA,CFA-AIL-Cochin(S),Aswas,2030000410,0,930,,
01-01-26,10031900,110033,North,TATA 1MG HEALTHCARE SOLUTIONS,CFA-AIL-New Delhi,Tata 1mg,2030000410,0,310,,
01-01-26,10031900,110033,North,TATA 1MG HEALTHCARE SOLUTIONS,CFA-AIL-New Delhi,Tata 1mg,2030000410,0,310,,
01-01-26,10031969,560074,South,Optival Health Solutions Pvt L,CFA-AIL-Bangalore,Medplus,2030000410,0,310,,
01-01-26,10031969,560074,South,Optival Health Solutions Pvt L,CFA-AIL-Bangalore,Medplus,2030000410,0,620,,
01-01-26,10031969,560074,South,Optival Health Solutions Pvt L,CFA-AIL-Bangalore,Medplus,2030000410,0,930,,
01-01-26,10031969,560074,South,Optival Health Solutions Pvt L,CFA-AIL-Bangalore,Medplus,2030000410,0,930,,
01-01-26,10032145,500072,South,SREE VENKATESHWARA MEDISOLUTIO,CFA-AIL-Hyderabad,Aster,2030000410,0,310,,
01-01-26,10032810,500008,South,Tata 1MG Healthcare Solutions,CFA-AIL-Hyderabad,Tata 1mg,2030000410,0,310,,
01-01-26,10032986,400104,West,NEW WELCOME AGENCIES PRIVATE L,CFA-AIL-Mumbai,Noble,2030000410,0,620,,
01-01-26,10032986,400104,West,NEW WELCOME AGENCIES PRIVATE L,CFA-AIL-Mumbai,Noble,2030000410,0,930,,
01-01-26,10032986,400104,West,NEW WELCOME AGENCIES PRIVATE L,CFA-AIL-Mumbai,Noble,2030000410,0,620,,
01-01-26,10032986,400104,West,NEW WELCOME AGENCIES PRIVATE L,CFA-AIL-Mumbai,Noble,2030000410,0,930,,
01-01-26,10033277,201301,North,Tata 1mg Healthcare Solutions,CFA AIL GHAZIABAD,Tata 1mg,2030000410,0,310,,
01-01-26,10033277,201301,North,Tata 1mg Healthcare Solutions,CFA AIL GHAZIABAD,Tata 1mg,2030000410,0,-310,,
01-01-26,10033445,560070,South,SRI PARSHVA PHARMA DISTRIBUTOR,CFA-AIL-Bangalore,Aster,2030000410,0,310,,
01-01-26,10033445,560070,South,SRI PARSHVA PHARMA DISTRIBUTOR,CFA-AIL-Bangalore,Aster,2030000410,0,620,,
01-01-26,10033445,560070,South,SRI PARSHVA PHARMA DISTRIBUTOR,CFA-AIL-Bangalore,Aster,2030000410,0,-6.66,,
01-01-26,10033984,562162,South,TATA 1MG HEALTHCARE SOLUTIONS,CFA-AIL-Bangalore,Tata 1mg,2030000410,0,310,,
01-01-26,10033998,400706,West,TATA 1MG HEALTHCARE SOLUTIONS,CFA-AIL-Mumbai,Tata 1mg,2030000410,0,310,,
01-01-26,10034002,711302,East,TATA 1MG HEALTHCARE SOLUTIONS,CFA-AIL-Kolkotta,Tata 1mg,2030000410,0,310,,
01-01-26,10034118,421302,West,WORKCELL SOLUTIONS PRIVATE LIM,CFA-AIL-Mumbai,Zeno Health,2030000410,0,310,,
01-01-26,10034118,421302,West,WORKCELL SOLUTIONS PRIVATE LIM,CFA-AIL-Mumbai,Zeno Health,2030000410,0,310,,
01-01-26,10034118,421302,West,WORKCELL SOLUTIONS PRIVATE LIM,CFA-AIL-Mumbai,Zeno Health,2030000410,0,310,,
01-01-26,10034118,421302,West,WORKCELL SOLUTIONS PRIVATE LIM,CFA-AIL-Mumbai,Zeno Health,2030000410,0,310,,
01-01-26,10034180,781029,East,SASTASUNDAR HEALTHBUDDY LIMITE,CFA-AIL-Guwahati(S),Flipkart Health +,2030000410,0,930,,
01-01-26,10034528,600041,South,PALEPU PHARMA DISTRIBUTORS,CFA-AIL-Chennai,Apollo Retail,2030000410,0,1550,,
01-01-26,10034528,600041,South,PALEPU PHARMA DISTRIBUTORS,CFA-AIL-Chennai,Apollo Retail,2030000410,0,1550,,
01-01-26,10034528,600041,South,PALEPU PHARMA DISTRIBUTORS,CFA-AIL-Chennai,Apollo Retail,2030000410,0,1550,,
01-01-26,10034698,700114,East,Aarush Tirupati Enterprise,CFA-AIL-Kolkotta,PharmEasy,2030000410,0,310,,
01-01-26,10034698,700114,East,Aarush Tirupati Enterprise,CFA-AIL-Kolkotta,PharmEasy,2030000410,0,310,,
01-01-26,10034698,700114,East,Aarush Tirupati Enterprise,CFA-AIL-Kolkotta,PharmEasy,2030000410,0,310,,
01-01-26,10034808,682028,South,MEDIHAUXE PHARMACEUTICALS,CFA-AIL-Cochin(S),Apollo Retail,2030000410,0,310,,
01-01-26,10034808,682028,South,MEDIHAUXE PHARMACEUTICALS,CFA-AIL-Cochin(S),Apollo Retail,2030000410,0,620,,
01-01-26,10035351,577201,South,VARDHMAN MEDISALES PVT. LTD,CFA-AIL-Bangalore,Apollo Retail,2030000410,0,310,,
01-01-26,10035351,577201,South,VARDHMAN MEDISALES PVT. LTD,CFA-AIL-Bangalore,Apollo Retail,2030000410,0,310,,
01-01-26,10035394,560058,South,AARUSH TIRUPATI ENTERPRISES,CFA-AIL-Bangalore,PharmEasy,2030000410,0,3410,,
01-01-26,10035394,560058,South,AARUSH TIRUPATI ENTERPRISES,CFA-AIL-Bangalore,PharmEasy,2030000410,0,-37.95,,
01-01-26,10035487,201301,North,Reliance Retail Limited,CFA AIL GHAZIABAD,NetMeds,2030000410,0,77.5,,
01-01-26,10035513,751010,East,Sanjeevani Pharma Distributors,CFA-AIL-Cuttack,Apollo Retail,2030000410,0,310,,
01-01-26,10035520,201301,North,NEELKANTH PHARMA LOGISTICS PVT,CFA AIL GHAZIABAD,Apollo Retail,2030000410,0,930,,
01-01-26,10035520,201301,North,NEELKANTH PHARMA LOGISTICS PVT,CFA AIL GHAZIABAD,Apollo Retail,2030000410,0,620,,
01-01-26,10035520,201301,North,NEELKANTH PHARMA LOGISTICS PVT,CFA AIL GHAZIABAD,Apollo Retail,2030000410,0,1550,,
01-01-26,10035520,201301,North,NEELKANTH PHARMA LOGISTICS PVT,CFA AIL GHAZIABAD,Apollo Retail,2030000410,0,-22.78,,
01-01-26,10035606,560049,South,Urmedz Retail Private Limited,CFA-AIL-Bangalore,Flipkart Health +,2030000410,0,310,,
01-01-26,10035781,226012,North,NEELKANTH PHARMA LOGISTICS,CFA-AIL-Lucknow,Apollo Retail,2030000410,0,465,,
01-01-26,10035814,560059,South,Focus Medisales Private Limite,CFA-AIL-Bangalore,Apollo Retail,2030000410,0,930,,
01-01-26,10035814,560059,South,Focus Medisales Private Limite,CFA-AIL-Bangalore,Apollo Retail,2030000410,0,1240,,
01-01-26,10035814,560059,South,Focus Medisales Private Limite,CFA-AIL-Bangalore,Apollo Retail,2030000410,0,620,,
01-01-26,10035814,560059,South,Focus Medisales Private Limite,CFA-AIL-Bangalore,Apollo Retail,2030000410,0,930,,
01-01-26,10035827,600008,South,Muthu Pharmacy Private Limited,CFA-AIL-Chennai,Muthu Pharmacy,2030000410,0,310,,
01-01-26,10035827,600008,South,Muthu Pharmacy Private Limited,CFA-AIL-Chennai,Muthu Pharmacy,2030000410,0,310,,
01-01-26,10035851,121006,North,ANKW PHARMA RETAIL PRIVATE LIM,CFA-AIL-New Delhi,Truemeds,2030000410,0,488.25,,
01-01-26,10035878,403709,West,MEHER LIFECARE PRIVATE LIMITED,CFA-AIL-PUNE,Apollo Retail,2030000410,0,310,,
01-01-26,10035878,403709,West,MEHER LIFECARE PRIVATE LIMITED,CFA-AIL-PUNE,Apollo Retail,2030000410,0,620,,
01-01-26,10035878,403709,West,MEHER LIFECARE PRIVATE LIMITED,CFA-AIL-PUNE,Apollo Retail,2030000410,0,310,,
01-01-26,10035925,122503,South,NOVAESTAR SOLUTIONS PRIVATE LI,CFA-AIL-Bangalore,QCommerce,2030000410,0,310,,
01-01-26,10035925,122503,North,NOVAESTAR SOLUTIONS PRIVATE LI,CFA-AIL-New Delhi,QCommerce,2030000410,0,697.5,,
01-01-26,10035925,122503,North,NOVAESTAR SOLUTIONS PRIVATE LI,CFA-AIL-New Delhi,QCommerce,2030000410,0,232.5,,
01-01-26,10035925,122503,South,NOVAESTAR SOLUTIONS PRIVATE LI,CFA-AIL-Hyderabad,QCommerce,2030000410,0,310,,
01-01-26,10036007,400079,West,VISTARAN HEALTHCARE SERVICE PV,CFA-AIL-Mumbai,PILLS & MORE,2030000410,0,310,,
01-01-26,10036049,560026,South,HIVELOOP E-COMMERCE PVT LTD,CFA-AIL-Bangalore,QCommerce,2030000410,0,310,,
01-01-26,10036049,560026,South,HIVELOOP E-COMMERCE PVT LTD,CFA-AIL-Bangalore,QCommerce,2030000410,0,310,,
01-01-26,10036693,0,South,THERYCO HEALTHCARE SOLUTIONS P,CFA-AIL-Bangalore,Amazon & Flipkart,2030000410,0,310,,
01-01-26,10023253,700056,East,Optival Health Solutions Pvt L,CFA-AIL-Kolkotta,Medplus,2030000411,0,-11.31,,
01-01-26,10027864,751002,East,Optival Health Solutions Pvt L,CFA-AIL-Cuttack,Medplus,2030000411,0,-11.55,,
01-01-26,10030843,682018,South,GETWELL MEDICARE SOLUTION PVT,CFA-AIL-Cochin(S),Aster,2030000411,0,-11.31,,
01-01-26,10022848,500037,South,Optival Health Solutions Pvt L,CFA-AIL-Hyderabad,Medplus,2030000412,0,817.2,,
01-01-26,10022848,500037,South,Optival Health Solutions Pvt L,CFA-AIL-Hyderabad,Medplus,2030000412,0,2451.6,,
01-01-26,10022848,500037,South,Optival Health Solutions Pvt L,CFA-AIL-Hyderabad,Medplus,2030000412,0,1634.4,,
01-01-26,10023048,600128,South,Optival Health Solutions Pvt L,CFA-AIL-Chennai,Medplus,2030000412,0,2451.6,,
01-01-26,10023048,600128,South,Optival Health Solutions Pvt L,CFA-AIL-Chennai,Medplus,2030000412,0,2451.6,,
01-01-26,10023048,600128,South,Optival Health Solutions Pvt L,CFA-AIL-Chennai,Medplus,2030000412,0,1634.4,,
01-01-26,10023048,600128,South,Optival Health Solutions Pvt L,CFA-AIL-Chennai,Medplus,2030000412,0,-20.06,,
01-01-26,10023206,500018,South,KEIMED PRIVATE LIMITED,CFA-AIL-Hyderabad,Apollo Retail,2030000412,0,3268.8,,
01-01-26,10023206,500018,South,KEIMED PRIVATE LIMITED,CFA-AIL-Hyderabad,Apollo Retail,2030000412,0,3268.8,,
01-01-26,10023206,500018,South,KEIMED PRIVATE LIMITED,CFA-AIL-Hyderabad,Apollo Retail,2030000412,0,2451.6,,
01-01-26,10023206,500018,South,KEIMED PRIVATE LIMITED,CFA-AIL-Hyderabad,Apollo Retail,2030000412,0,4903.2,,
01-01-26,10023253,700056,East,Optival Health Solutions Pvt L,CFA-AIL-Kolkotta,Medplus,2030000412,0,817.2,,
01-01-26,10023253,700056,East,Optival Health Solutions Pvt L,CFA-AIL-Kolkotta,Medplus,2030000412,0,817.2,,
01-01-26,10023253,700056,East,Optival Health Solutions Pvt L,CFA-AIL-Kolkotta,Medplus,2030000412,0,817.2,,
01-01-26,10023253,700056,East,Optival Health Solutions Pvt L,CFA-AIL-Kolkotta,Medplus,2030000412,0,-40.08,,
01-01-26,10023253,700056,East,Optival Health Solutions Pvt L,CFA-AIL-Kolkotta,Medplus,2030000412,0,-20.04,,
01-01-26,10023515,421302,West,WELLNESS FOREVER MEDICARE LTD,CFA-AIL-Mumbai,Wellness,2030000412,0,3268.8,,
01-01-26,10023515,421302,West,WELLNESS FOREVER MEDICARE LTD,CFA-AIL-Mumbai,Wellness,2030000412,0,817.2,,
01-01-26,10023515,421302,West,WELLNESS FOREVER MEDICARE LTD,CFA-AIL-Mumbai,Wellness,2030000412,0,3268.8,,
01-01-26,10023515,421302,West,WELLNESS FOREVER MEDICARE LTD,CFA-AIL-Mumbai,Wellness,2030000412,0,1634.4,,
01-01-26,10023780,520007,South,Optival Health Solutions Pvt L,CFA AIL VIJAYAWADA,Medplus,2030000412,0,817.2,,
01-01-26,10023780,520007,South,Optival Health Solutions Pvt L,CFA AIL VIJAYAWADA,Medplus,2030000412,0,817.2,,
01-01-26,10023780,520007,South,Optival Health Solutions Pvt L,CFA AIL VIJAYAWADA,Medplus,2030000412,0,1634.4,,
01-01-26,10023780,520007,South,Optival Health Solutions Pvt L,CFA AIL VIJAYAWADA,Medplus,2030000412,0,1634.4,,
01-01-26,10023780,520007,South,Optival Health Solutions Pvt L,CFA AIL VIJAYAWADA,Medplus,2030000412,0,-67.56,,
01-01-26,10026212,412308,West,Optival Health Solutions Pvt L,CFA-AIL-PUNE,Medplus,2030000412,0,817.2,,
01-01-26,10026425,700136,East,SANJEEVANI PHARMA DISTRIBUTORS,CFA-AIL-Kolkotta,Apollo Retail,2030000412,0,1634.4,,
01-01-26,10026425,700136,East,SANJEEVANI PHARMA DISTRIBUTORS,CFA-AIL-Kolkotta,Apollo Retail,2030000412,0,817.2,,
01-01-26,10026425,700136,East,SANJEEVANI PHARMA DISTRIBUTORS,CFA-AIL-Kolkotta,Apollo Retail,2030000412,0,817.2,,
01-01-26,10026425,700136,East,SANJEEVANI PHARMA DISTRIBUTORS,CFA-AIL-Kolkotta,Apollo Retail,2030000412,0,817.2,,
01-01-26,10026425,700136,East,SANJEEVANI PHARMA DISTRIBUTORS,CFA-AIL-Kolkotta,Apollo Retail,2030000412,0,1634.4,,
01-01-26,10026425,700136,East,SANJEEVANI PHARMA DISTRIBUTORS,CFA-AIL-Kolkotta,Apollo Retail,2030000412,0,-357.42,,
01-01-26,10026577,441202,West,Optival Health Solutions Pvt L,CFA-AIL-NAGPUR,Medplus,2030000412,0,272.4,,
01-01-26,10026757,700039,East,NIRAMAY DISTRIBUTORS PVT. LTD.,CFA-AIL-Kolkotta,Frank Ross,2030000412,0,817.2,,
01-01-26,10026757,700039,East,NIRAMAY DISTRIBUTORS PVT. LTD.,CFA-AIL-Kolkotta,Frank Ross,2030000412,0,544.8,,
01-01-26,10027987,700144,North,SASTA SUNDAR HEALTHBUDDY LTD,CFA AIL GHAZIABAD,Flipkart Health +,2030000412,0,5720.4,,
01-01-26,10027987,700144,North,SASTA SUNDAR HEALTHBUDDY LTD,CFA AIL GHAZIABAD,Flipkart Health +,2030000412,0,4086,,
01-01-26,10027987,700144,North,SASTA SUNDAR HEALTHBUDDY LTD,CFA AIL GHAZIABAD,Flipkart Health +,2030000412,0,4086,,
01-01-26,10027987,700144,North,SASTA SUNDAR HEALTHBUDDY LTD,CFA AIL GHAZIABAD,Flipkart Health +,2030000412,0,1362,,
01-01-26,10027987,700144,East,SASTA SUNDAR HEALTHBUDDY LTD,CFA-AIL-Kolkotta,Flipkart Health +,2030000412,0,3268.8,,
01-01-26,10027987,700144,East,SASTA SUNDAR HEALTHBUDDY LTD,CFA-AIL-Kolkotta,Flipkart Health +,2030000412,0,2451.6,,
01-01-26,10027987,700144,East,SASTA SUNDAR HEALTHBUDDY LTD,CFA-AIL-Kolkotta,Flipkart Health +,2030000412,0,4903.2,,
01-01-26,10027987,700144,East,SASTA SUNDAR HEALTHBUDDY LTD,CFA-AIL-Kolkotta,Flipkart Health +,2030000412,0,4086,,
01-01-26,10028353,495001,West,SANJEEVANI PHARMA DISTRIBUTORS,CFA-AIL-NAGPUR,Apollo Retail,2030000412,0,1362,,
01-01-26,10030843,682018,South,GETWELL MEDICARE SOLUTION PVT,CFA-AIL-Cochin(S),Aster,2030000412,0,817.2,,
01-01-26,10030843,682018,South,GETWELL MEDICARE SOLUTION PVT,CFA-AIL-Cochin(S),Aster,2030000412,0,-152.5,,
01-01-26,10030843,682018,South,GETWELL MEDICARE SOLUTION PVT,CFA-AIL-Cochin(S),Aster,2030000412,0,-22.05,,
01-01-26,10030932,641026,South,Thulasi Pharmacies India Priva,CFA-AIL-Cochin(S),Thulasi,2030000412,0,817.2,,
01-01-26,10031623,122015,North,Threpsi Solutions Private Limi,CFA-AIL-New Delhi,PharmEasy,2030000412,0,2451.6,,
01-01-26,10031624,400078,West,THREPSI SOLUTIONS PVT LTD,CFA-AIL-Mumbai,PharmEasy,2030000412,0,817.2,,
01-01-26,10031624,400078,West,THREPSI SOLUTIONS PVT LTD,CFA-AIL-Mumbai,PharmEasy,2030000412,0,817.2,,
01-01-26,10031624,400078,West,THREPSI SOLUTIONS PVT LTD,CFA-AIL-Mumbai,PharmEasy,2030000412,0,817.2,,
01-01-26,10031624,400078,West,THREPSI SOLUTIONS PVT LTD,CFA-AIL-Mumbai,PharmEasy,2030000412,0,4903.2,,
01-01-26,10031696,695501,South,ASWAS PHARMA,CFA-AIL-Cochin(S),Aswas,2030000412,0,817.2,,
01-01-26,10031696,695501,South,ASWAS PHARMA,CFA-AIL-Cochin(S),Aswas,2030000412,0,-22.07,,
01-01-26,10031900,110033,North,TATA 1MG HEALTHCARE SOLUTIONS,CFA-AIL-New Delhi,Tata 1mg,2030000412,0,817.2,,
01-01-26,10031900,110033,North,TATA 1MG HEALTHCARE SOLUTIONS,CFA-AIL-New Delhi,Tata 1mg,2030000412,0,817.2,,
01-01-26,10031969,560074,South,Optival Health Solutions Pvt L,CFA-AIL-Bangalore,Medplus,2030000412,0,2451.6,,
01-01-26,10031969,560074,South,Optival Health Solutions Pvt L,CFA-AIL-Bangalore,Medplus,2030000412,0,2451.6,,
01-01-26,10031969,560074,South,Optival Health Solutions Pvt L,CFA-AIL-Bangalore,Medplus,2030000412,0,2451.6,,
01-01-26,10032903,226023,North,Tata 1MG Healthcare Solutions,CFA-AIL-Lucknow,Tata 1mg,2030000412,0,817.2,,
01-01-26,10032986,400104,West,NEW WELCOME AGENCIES PRIVATE L,CFA-AIL-Mumbai,Noble,2030000412,0,817.2,,
01-01-26,10032986,400104,West,NEW WELCOME AGENCIES PRIVATE L,CFA-AIL-Mumbai,Noble,2030000412,0,817.2,,
01-01-26,10032986,400104,West,NEW WELCOME AGENCIES PRIVATE L,CFA-AIL-Mumbai,Noble,2030000412,0,1634.4,,
01-01-26,10032986,400104,West,NEW WELCOME AGENCIES PRIVATE L,CFA-AIL-Mumbai,Noble,2030000412,0,1634.4,,
01-01-26,10033277,201301,North,Tata 1mg Healthcare Solutions,CFA AIL GHAZIABAD,Tata 1mg,2030000412,0,817.2,,
01-01-26,10033277,201301,North,Tata 1mg Healthcare Solutions,CFA AIL GHAZIABAD,Tata 1mg,2030000412,0,817.2,,
01-01-26,10033445,560070,South,SRI PARSHVA PHARMA DISTRIBUTOR,CFA-AIL-Bangalore,Aster,2030000412,0,-154.49,,
01-01-26,10033984,562162,South,TATA 1MG HEALTHCARE SOLUTIONS,CFA-AIL-Bangalore,Tata 1mg,2030000412,0,817.2,,
01-01-26,10033984,562162,South,TATA 1MG HEALTHCARE SOLUTIONS,CFA-AIL-Bangalore,Tata 1mg,2030000412,0,817.2,,
01-01-26,10034002,711302,East,TATA 1MG HEALTHCARE SOLUTIONS,CFA-AIL-Kolkotta,Tata 1mg,2030000412,0,817.2,,
01-01-26,10034118,421302,West,WORKCELL SOLUTIONS PRIVATE LIM,CFA-AIL-Mumbai,Zeno Health,2030000412,0,817.2,,
01-01-26,10034180,781029,East,SASTASUNDAR HEALTHBUDDY LIMITE,CFA-AIL-Guwahati(S),Flipkart Health +,2030000412,0,2451.6,,
01-01-26,10034180,781029,East,SASTASUNDAR HEALTHBUDDY LIMITE,CFA-AIL-Guwahati(S),Flipkart Health +,2030000412,0,817.2,,
01-01-26,10034528,600041,South,PALEPU PHARMA DISTRIBUTORS,CFA-AIL-Chennai,Apollo Retail,2030000412,0,2451.6,,
01-01-26,10034528,600041,South,PALEPU PHARMA DISTRIBUTORS,CFA-AIL-Chennai,Apollo Retail,2030000412,0,2451.6,,
01-01-26,10034528,600041,South,PALEPU PHARMA DISTRIBUTORS,CFA-AIL-Chennai,Apollo Retail,2030000412,0,2451.6,,
01-01-26,10034698,700114,East,Aarush Tirupati Enterprise,CFA-AIL-Kolkotta,PharmEasy,2030000412,0,817.2,,
01-01-26,10034698,700114,East,Aarush Tirupati Enterprise,CFA-AIL-Kolkotta,PharmEasy,2030000412,0,817.2,,
01-01-26,10034698,700114,East,Aarush Tirupati Enterprise,CFA-AIL-Kolkotta,PharmEasy,2030000412,0,3268.8,,
01-01-26,10034808,682028,South,MEDIHAUXE PHARMACEUTICALS,CFA-AIL-Cochin(S),Apollo Retail,2030000412,0,1634.4,,
01-01-26,10034808,682028,South,MEDIHAUXE PHARMACEUTICALS,CFA-AIL-Cochin(S),Apollo Retail,2030000412,0,1634.4,,
01-01-26,10035351,577201,South,VARDHMAN MEDISALES PVT. LTD,CFA-AIL-Bangalore,Apollo Retail,2030000412,0,4086,,
01-01-26,10035351,577201,South,VARDHMAN MEDISALES PVT. LTD,CFA-AIL-Bangalore,Apollo Retail,2030000412,0,2451.6,,
01-01-26,10035394,560058,South,AARUSH TIRUPATI ENTERPRISES,CFA-AIL-Bangalore,PharmEasy,2030000412,0,817.2,,
01-01-26,10035394,560058,South,AARUSH TIRUPATI ENTERPRISES,CFA-AIL-Bangalore,PharmEasy,2030000412,0,817.2,,
